block	design	run	design_ran_as	item	category	remembered
1	1	1	2	105	1	1
1	1	1	2	227	2	0
1	1	1	2	122	1	1
1	1	1	2	228	2	0
1	1	1	2	203	2	1
1	1	1	2	201	2	1
1	1	1	2	216	2	1
1	1	1	2	102	1	1
1	1	1	2	126	1	1
1	1	1	2	106	1	0
1	1	1	2	204	2	0
1	1	1	2	130	1	1
1	1	1	2	106	1	0
1	1	1	2	126	1	1
1	1	1	2	227	2	0
1	1	1	2	228	2	0
1	1	1	2	204	2	0
1	1	1	2	105	1	1
1	1	1	2	130	1	1
1	1	1	2	201	2	1
1	1	1	2	122	1	1
1	1	1	2	216	2	1
1	1	1	2	203	2	1
1	1	1	2	102	1	1
1	1	1	2	227	2	0
1	1	1	2	204	2	0
1	1	1	2	105	1	1
1	1	1	2	216	2	1
1	1	1	2	106	1	0
1	1	1	2	122	1	1
1	1	1	2	126	1	1
1	1	1	2	130	1	1
1	1	1	2	201	2	1
1	1	1	2	228	2	0
1	1	1	2	102	1	1
1	1	1	2	203	2	1
2	1	2	2	130	1	1
2	1	2	2	122	1	1
2	1	2	2	102	1	1
2	1	2	2	228	2	0
2	1	2	2	203	2	1
2	1	2	2	126	1	1
2	1	2	2	201	2	1
2	1	2	2	105	1	1
2	1	2	2	227	2	0
2	1	2	2	106	1	0
2	1	2	2	216	2	1
2	1	2	2	204	2	0
2	1	2	2	201	2	1
2	1	2	2	228	2	0
2	1	2	2	203	2	1
2	1	2	2	227	2	0
2	1	2	2	106	1	0
2	1	2	2	126	1	1
2	1	2	2	204	2	0
2	1	2	2	102	1	1
2	1	2	2	122	1	1
2	1	2	2	216	2	1
2	1	2	2	105	1	1
2	1	2	2	130	1	1
2	1	2	2	228	2	0
2	1	2	2	204	2	0
2	1	2	2	201	2	1
2	1	2	2	106	1	0
2	1	2	2	227	2	0
2	1	2	2	130	1	1
2	1	2	2	126	1	1
2	1	2	2	122	1	1
2	1	2	2	203	2	1
2	1	2	2	102	1	1
2	1	2	2	105	1	1
2	1	2	2	216	2	1
3	2	1	4	111	1	1
3	2	1	4	213	2	0
3	2	1	4	210	2	0
3	2	1	4	224	2	1
3	2	1	4	109	1	0
3	2	1	4	107	1	1
3	2	1	4	124	1	0
3	2	1	4	206	2	0
3	2	1	4	117	1	1
3	2	1	4	221	2	0
3	2	1	4	108	1	1
3	2	1	4	222	2	1
3	2	1	4	124	1	0
3	2	1	4	107	1	1
3	2	1	4	117	1	1
3	2	1	4	206	2	0
3	2	1	4	222	2	1
3	2	1	4	224	2	1
3	2	1	4	213	2	0
3	2	1	4	210	2	0
3	2	1	4	108	1	1
3	2	1	4	111	1	1
3	2	1	4	109	1	0
3	2	1	4	221	2	0
3	2	1	4	221	2	0
3	2	1	4	108	1	1
3	2	1	4	107	1	1
3	2	1	4	117	1	1
3	2	1	4	222	2	1
3	2	1	4	210	2	0
3	2	1	4	124	1	0
3	2	1	4	213	2	0
3	2	1	4	224	2	1
3	2	1	4	206	2	0
3	2	1	4	111	1	1
3	2	1	4	109	1	0
3	2	1	4	107	1	1
3	2	1	4	224	2	1
3	2	1	4	222	2	1
3	2	1	4	109	1	0
3	2	1	4	124	1	0
